condition;mu;density;run_time;converged;model;solver
15;1.4108610242956;0.999999999999999;0.022;1;A;IPOPT
16;1.14879033009579;1;0.024;1;A;IPOPT
17;0.901361923288129;1;0.025;1;A;IPOPT
18;0.683517878597361;1;0.026;1;A;IPOPT
19;0.503257015302807;1;0.035;1;A;IPOPT
20;0.361668069197949;1;0.039;1;A;IPOPT
21;0.25500265972063;1;0.033;1;A;IPOPT
22;0.177195930097551;0.999999999999999;0.043;1;A;IPOPT
23;0.121797490085907;0.999999999999999;0.039;1;A;IPOPT
24;0.0830507304842185;1;0.042;1;A;IPOPT
25;0.0562996433570539;1;0.04;1;A;IPOPT
1;3.48059751415448;0.999999999999999;0.139;1;B;IPOPT
2;3.47380160850232;0.999999999999999;0.035;1;B;IPOPT
3;3.46370351891922;1;0.035;1;B;IPOPT
4;3.44876429078892;1;0.033;1;B;IPOPT
5;3.42679990755355;1;0.035;1;B;IPOPT
6;3.39478409209161;1;0.041;1;B;IPOPT
7;3.34865846780747;1;0.028;1;B;IPOPT
8;3.28321687914123;1;0.031;1;B;IPOPT
9;3.19217553165351;1;0.029;1;B;IPOPT
10;3.06858808737713;0.999999999999999;0.032;1;B;IPOPT
11;2.90579286164505;1;0.033;1;B;IPOPT
12;2.69903078121878;1;0.03;1;B;IPOPT
13;2.44764279487226;0.999999999999999;0.04;1;B;IPOPT
14;2.15726558910646;1;0.034;1;B;IPOPT
15;1.84086685171091;1;0.038;1;B;IPOPT
16;1.51738711738543;1;0.042;1;B;IPOPT
17;1.20777808383384;1;0.034;1;B;IPOPT
18;0.929949702816796;0.999999999999999;0.037;1;B;IPOPT
19;0.69503371879174;1;0.037;1;B;IPOPT
20;0.50645497267106;1;0.037;1;B;IPOPT
21;0.361480292317351;1;0.057;1;B;IPOPT
22;0.253819856505925;1;0.057;1;B;IPOPT
23;0.175990491017982;0.999999999999999;0.05;1;B;IPOPT
24;0.12086397646113;1;0.05;1;B;IPOPT
25;0.0824103056626619;0.999999999999999;0.046;1;B;IPOPT
1;2.18910784565057;0.999999999999999;0.157;1;C;IPOPT
