condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
70;33700;0.0093285;9.52682e-11;0.360108;2.25367;1;1;0
70;33800;0.00932852;1.90536e-10;0.360108;2.25367;1;1;0
70;33900;0.00932853;7.62146e-11;0.360108;2.25367;1;1;0
70;34000;0.00932854;1.52429e-10;0.360108;2.25367;1;1;0
70;34100;0.00932855;6.09717e-11;0.360108;2.25367;1;1;0
70;34200;0.00932856;1.21943e-10;0.360108;2.25367;1;1;0
70;34300;0.00932858;2.43887e-10;0.360108;2.25367;1;1;0
70;34400;0.0093286;9.75546e-11;0.360108;2.25367;1;1;0
70;34500;0.00932861;1.95109e-10;0.360108;2.25367;1;1;0
70;34600;0.00932862;7.80437e-11;0.360108;2.25367;1;1;0
70;34700;0.00932864;1.56087e-10;0.360108;2.25367;1;1;0
70;34800;0.00932864;2.4974e-12;0.360108;2.25367;1;1;0
70;34900;0.00932864;4.9948e-12;0.360108;2.25367;1;1;0
70;35000;0.00932865;9.9896e-12;0.360108;2.25367;1;1;0
70;35100;0.00932865;1.99792e-11;0.360108;2.25367;1;1;0
70;35200;0.00932865;3.99584e-11;0.360108;2.25367;1;1;0
70;35300;0.00932866;7.99168e-11;0.360108;2.25367;1;1;0
70;35400;0.00932867;1.59834e-10;0.360108;2.25367;1;1;0
70;35500;0.00932868;2.55734e-12;0.360108;2.25367;1;1;0
70;35600;0.00932868;5.11467e-12;0.360108;2.25367;1;1;0
70;35700;0.00932868;1.02293e-11;0.360108;2.25367;1;1;0
70;35800;0.00932868;2.04587e-11;0.360108;2.25367;1;1;0
70;35900;0.00932868;4.09174e-11;0.360108;2.25367;1;1;0
70;36000;0.00932869;8.18348e-11;0.360108;2.25367;1;1;0
70;36100;0.0093287;1.6367e-10;0.360108;2.25367;1;1;0
70;36200;0.00932871;6.54678e-11;0.360108;2.25367;1;1;0
70;36300;0.00932872;1.30936e-10;0.360108;2.25367;1;1;0
70;36400;0.00932874;2.61871e-10;0.360108;2.25367;1;1;0
70;36500;0.00932876;1.04748e-10;0.360108;2.25367;1;1;0
70;36600;0.00932878;2.09497e-10;0.360108;2.25367;1;1;0
70;36700;0.00932879;8.37988e-11;0.360108;2.25367;1;1;0
70;36800;0.0093288;1.67598e-10;0.360108;2.25367;1;1;0
70;36900;0.00932882;6.7039e-11;0.360108;2.25367;1;1;0
70;37000;0.00932883;1.34078e-10;0.360108;2.25367;1;1;0
70;37100;0.00932885;2.68156e-10;0.360108;2.25367;1;1;0
70;37200;0.00932887;1.07262e-10;0.360108;2.25367;1;1;0
70;37300;0.00932889;2.14525e-10;0.360108;2.25367;1;1;0
70;37400;0.00932891;8.581e-11;0.360108;2.25367;1;1;0
70;37500;0.00932892;1.7162e-10;0.360108;2.25367;1;1;0
70;37600;0.00932894;3.4324e-10;0.360108;2.25367;1;1;0
